3,6,129
8,6,144
8,5,124
8,3,84
3,6,129
9,5,127
1,3,63
7,6,141
1,5,103
5,9,195
6,4,98
4,5,112
3,2,49
7,9,201
5,1,35
9,5,127
9,7,167
2,5,106
6,2,58
5,2,55
2,9,186
4,6,132
9,8,187
5,4,95
6,1,38
4,8,172
2,8,166
8,9,204
2,7,146
5,9,195
6,6,138
2,4,86
4,9,192
6,8,178
6,6,138
9,1,47
6,8,178
6,3,78
6,5,118
8,6,144
9,2,67
9,4,107
5,8,175
8,4,104
9,1,47
7,9,201
2,1,26
4,6,132
7,1,41
2,5,106
3,2,49
1,7,143
3,9,189
8,3,84
1,9,183
5,7,155
7,8,181
6,2,58
9,2,67
9,7,167
2,4,86
7,2,61
5,4,95
6,9,198
8,8,184
6,3,78
1,4,83
6,6,138
5,1,35
5,2,55
6,3,78
5,3,75
3,3,69
3,8,169
4,4,92
8,3,84
7,8,181
4,9,192
6,7,158
4,9,192
2,5,106
5,9,195
3,4,89
8,9,204
7,4,101
8,6,144
6,8,178
1,1,23
2,3,66
5,2,55
6,8,178
6,1,38
2,6,126
2,5,106
7,1,41
6,1,38
4,5,112
7,8,181
1,4,83
6,7,158
