# trial1, trial2, trial3, trial4, trial 5
0.000000000000000000e+00,3.000000000000000000e+00,3.636286697614392605e-01,-1.407132185610197039e+00,1.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.630461167878083151e-01,4.122904300732536664e-01,1.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+00,3.943677970440655489e-01,-1.198536061831219968e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+00,4.079427649361913044e-01,1.558252143445688409e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+00,6.794592271923499682e-01,8.568586929663095653e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.000000000000000000e+00,9.733005088361466051e-01,5.315056498378494254e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.783622580663051460e-01,1.073009484834586358e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,5.422194205679325973e-01,-6.534392365917266465e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.568704740181854129e-01,1.764326941385110814e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,5.426085342769456643e-01,-4.699817728489770197e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.585612376864255824e-01,-1.042141944860214497e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,7.472554931563116787e-01,8.452756910791441314e-01,1.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,3.823333615871143953e-01,-9.570614808440188748e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.970715929944220290e-01,6.100891554297543928e-01,1.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,2.919982470196019753e-01,4.780966206214402048e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,9.880084691740741443e-01,-3.506849042137520911e-01,0.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+00,3.646515068903355417e-01,-8.360974484474004154e-01,0.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+00,9.618099442444001390e-01,-1.855060690539702462e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.276621011155763874e-01,4.352248976757708832e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.000000000000000000e+00,2.368058486461033230e-02,1.288884838108384612e+00,0.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+00,4.439702726366241414e-01,-3.298362144767857385e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,9.772819511320084418e-01,1.301199533292803912e+00,1.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+00,3.984644849611373996e-02,1.948507327405315293e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,6.996746897316453717e-01,-1.059449381145381119e+00,1.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.379566963942332691e-01,6.751412685490756349e-01,0.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+00,9.784229374737449803e-01,-1.601162027351025197e+00,0.000000000000000000e+00
