# X1, X2, X3, Y
-5.564295701008693112e-02,8.038958506527196235e+00,9.351368141940273604e-02,1.000000000000000000e+00
-2.017617052505753794e-01,2.522263325556524105e+00,8.766118466548076249e-01,1.000000000000000000e+00
-1.061178453235978258e+00,-8.843550411332707029e+00,4.681675154595128507e-01,0.000000000000000000e+00
1.712536546889088296e+00,7.097821043013085252e+00,4.392650116455418252e-01,1.000000000000000000e+00
1.392755177000233546e+00,-3.665651945170655068e+00,-1.264428865173905292e+00,0.000000000000000000e+00
2.053226431046317746e+00,9.656047289211997509e+00,-1.373538727395647863e+00,1.000000000000000000e+00
-2.185732813161381516e-01,9.104938464255754482e+00,-9.145280742105709182e-01,0.000000000000000000e+00
2.406683601103359216e+00,4.015057503442537090e+00,-3.202719915261889594e-01,1.000000000000000000e+00
1.156841621902148648e-01,-6.388775880969959076e-01,2.298320576014456051e+00,1.000000000000000000e+00
1.015451810054734949e-01,-1.997640651362740716e+00,-2.037726968960190399e-01,0.000000000000000000e+00
-4.274420701718850690e-02,4.551667030128592750e-01,-1.348431352478714373e+00,0.000000000000000000e+00
-1.073561433851623503e+00,9.847419975865454589e-01,1.410247593894834672e+00,1.000000000000000000e+00
6.052105669511197439e-01,9.759012850147751550e+00,-1.123633548994527498e+00,1.000000000000000000e+00
2.024520534285886075e+00,-1.969150514896475634e+00,3.810825586548849953e-01,1.000000000000000000e+00
-2.131334516371132359e+00,-4.485381884175776435e+00,1.349243796303635223e+00,0.000000000000000000e+00
-4.030829644967484082e-01,9.524720340261188412e+00,8.216947209377698513e-01,1.000000000000000000e+00
3.004822710341406911e+00,6.862122993848153385e+00,1.256333308787645382e-02,1.000000000000000000e+00
2.453404868421999119e+00,-2.105306350781596780e+00,-5.787561123518321082e-01,1.000000000000000000e+00
2.466642109151298445e+00,-2.181075797372394209e+00,-5.040189188623275252e-01,1.000000000000000000e+00
2.446036398448196980e+00,-3.229289068962157394e+00,-3.977729998173810261e-02,1.000000000000000000e+00
-2.451464452312641651e+00,-2.068131959727184555e+00,-7.335835378123186645e-01,0.000000000000000000e+00
1.540306769137776532e+00,-1.451149834044594078e+00,5.375678732952795524e-01,1.000000000000000000e+00
1.802725931652597868e+00,1.656559902468133227e+00,7.228022167127237108e-01,1.000000000000000000e+00
2.097973697942246307e+00,2.035514589968375088e+00,8.869929653198285191e-01,1.000000000000000000e+00
-2.824731050189663861e+00,1.102049887736193501e+00,-4.222512129024076910e-01,0.000000000000000000e+00
-1.550758700820473290e+00,7.638830352021059866e+00,-2.296069564940379504e-01,0.000000000000000000e+00
