6,3,129
6,8,144
5,8,124
3,8,84
6,3,129
5,9,127
3,1,63
6,7,141
5,1,103
9,5,195
4,6,98
5,4,112
2,3,49
9,7,201
1,5,35
5,9,127
7,9,167
5,2,106
2,6,58
2,5,55
9,2,186
6,4,132
8,9,187
4,5,95
1,6,38
8,4,172
8,2,166
9,8,204
7,2,146
9,5,195
6,6,138
4,2,86
9,4,192
8,6,178
6,6,138
1,9,47
8,6,178
3,6,78
5,6,118
6,8,144
2,9,67
4,9,107
8,5,175
4,8,104
1,9,47
9,7,201
1,2,26
6,4,132
1,7,41
5,2,106
2,3,49
7,1,143
9,3,189
3,8,84
9,1,183
7,5,155
8,7,181
2,6,58
2,9,67
7,9,167
4,2,86
2,7,61
4,5,95
9,6,198
8,8,184
3,6,78
4,1,83
6,6,138
1,5,35
2,5,55
3,6,78
3,5,75
3,3,69
8,3,169
4,4,92
3,8,84
8,7,181
9,4,192
7,6,158
9,4,192
5,2,106
9,5,195
4,3,89
9,8,204
4,7,101
6,8,144
8,6,178
1,1,23
3,2,66
2,5,55
8,6,178
1,6,38
6,2,126
5,2,106
1,7,41
1,6,38
5,4,112
8,7,181
4,1,83
7,6,158
