# X1, X2, X3, Y
1.233039552434634034e+00,-1.067224337293618497e+01,1.860547501833727191e+00,4.839061980432228793e+00
9.202866849999288279e-01,-2.213977524651201456e+00,-2.650220285957897159e-01,5.074315743697571435e+00
3.242074492006684072e-01,-9.947665635106744952e-01,1.883492521070734949e+00,1.619504147739770517e+01
1.561704005462058564e+00,1.529314910399915073e+00,-8.797762104591632104e-01,9.595497632098833662e+00
-1.203679513117595468e+00,8.305868686514846999e+00,-1.685565628922939055e-02,1.008513569999520776e+01
6.928405005867619426e-01,-3.049285508631316866e+00,1.660873028047341826e+00,1.366051590061359278e+01
-1.841680059456972662e+00,1.558293144928261764e+00,3.578270691187353525e-01,6.557010229226017950e-01
-1.500665806841779082e+00,-4.891611151331596297e+00,1.846623323633179936e+00,2.636384927100491549e+00
-9.166899755648164616e-01,1.216509374178545322e+00,-5.321540473819496020e-01,4.268943523516571803e-02
-6.938392265921194957e-01,3.074260676677196713e+00,1.453944758553559868e+00,1.268897517763134353e+01
2.105802786277969574e+00,6.493566648622062232e+00,-2.679660558144211890e+00,7.156075632078621851e+00
-6.038245977838069267e-01,-8.093919550427007836e-01,-8.166458499982258701e-01,-1.429969733408682941e+00
1.611466275676095572e+00,7.481261970963990482e-01,4.678368134258136246e-01,1.366589448394585915e+01
1.744187575485380615e+00,-4.514051663686330151e+00,1.217404347873047188e+00,1.359955097391596368e+01
2.146638422488603926e+00,7.098880107752959523e-01,-2.775750525698129911e-02,1.384273517540318643e+01
1.615593704285589904e+00,-4.341718854510833836e+00,7.369626450450423860e-01,9.698083650873648764e+00
-1.646148295856751931e+00,-1.161963354277667504e-02,-1.843896948564234028e+00,-1.059556832056212805e+01
1.424255597876854962e+00,-1.277890733673342494e+00,-1.604088364354110396e+00,2.423123740881807819e+00
-4.748869878082987661e+00,1.053525400168445980e+00,-9.866740529064590981e-02,-1.167519183499912749e+01
2.018981919284166260e+00,3.517811667026664590e+00,-2.443647199577587692e-01,1.580129670348126325e+01
2.528068976110017463e+00,-5.866156855271549286e-01,1.490160475305845722e+00,2.195912906862265146e+01
-8.417634295567212321e-01,4.567219966791984831e+00,1.340024817608762193e-02,8.422375064480350559e+00
2.120484184670856198e+00,2.865618596140712349e+00,-1.360944322935939699e+00,1.164768533891048108e+01
-4.681239788225738607e+00,-8.781860628444546180e+00,-1.535720914086478261e+00,-2.941894703156312474e+01
-3.931955958258747663e-01,6.723508476294468572e+00,-1.054218910428398104e+00,4.863610011317096138e+00
-2.130095590889793944e-01,1.170466365993765301e+00,2.452829513865133482e-01,4.374086328712301963e+00
9.081266136317619475e-01,-1.520885120027273496e+00,2.621846796196554696e-01,7.325834638603654803e+00
-8.274067966832474030e-02,7.170593680041255080e-01,2.317622213374178397e+00,1.771597332933372826e+01
1.760214662110338724e-01,2.421806699693097809e+00,8.820078311954827888e-02,9.765694580987775097e+00
-4.727029898387731799e-01,1.476277994745629840e+01,-4.226932547686150787e-01,1.896071956832453509e+01
4.239515222434296904e-01,-1.505715573123342477e+00,-1.680940349649366450e+00,-2.849691024176813414e+00
3.755757340808093758e+00,4.442416213381666923e-02,-9.103579363934387603e-01,1.588947541516021289e+01
8.566563151441271007e-01,-5.495896206355032731e+00,2.177375418743685120e+00,1.362902474165216127e+01
9.849635639510015417e-02,2.236545208070567892e+00,-3.519975617092132580e-01,4.952009771542032368e+00
-1.300277132984605510e-01,-1.315050035919712368e+00,-3.448272965700951986e-01,3.287167410914564769e+00
3.634649116493650300e+00,1.042964371266981605e+00,-7.212340905352970788e-02,1.947851001228594114e+01
3.286866874080976442e-01,-4.225239592226491148e+00,1.706332816649829692e-02,3.235623320587663887e-01
-1.732673270533110710e+00,6.185952132649674695e+00,-3.291257515675411471e-01,3.733355298719679194e+00
-3.226309167962539970e-01,1.114695721269626016e+00,1.918540791218020791e-01,5.821543875486097974e+00
-1.093906790465299705e+00,-8.713295485597949419e-01,9.407993079753258492e-01,5.206427653920663090e+00
-1.270845780173994743e+00,-7.333575659469272701e+00,-3.289809158117323884e-01,-1.101776509677741167e+01
-1.047307382155331812e+00,6.279385299034549561e+00,-3.319210579149711737e-01,8.372078778682556788e+00
1.335877443484747351e+00,5.693023254994028726e+00,-7.572194096051152457e-01,1.229029119116152557e+01
2.224263022452215743e+00,7.378699827397376954e-01,1.407062174161776424e-01,1.595711532359100104e+01
1.170798952058020315e-01,7.429839423040313307e+00,8.931033164521088308e-01,1.959966652703975143e+01
1.845942416481066717e+00,-8.257184892901156203e+00,8.982087366167793574e-01,6.259855369667219449e+00
-6.481946213663584144e-01,4.228083166392528014e+00,6.055143453705240653e-01,9.349012574423184674e+00
-1.438735042273515230e+00,3.777091314681387813e-01,-9.568882360486358207e-01,-4.022052799484773900e+00
-1.727108265417696131e+00,-7.152510581270959733e+00,8.200932139346379240e-03,-1.030331120658376065e+01
3.771412589306598839e+00,1.335939317597357956e+00,-1.046789620592691650e+00,1.747525488148057349e+01
-1.613191344849653985e+00,-2.314620296961144241e+00,6.851954329968495960e-01,-8.623957083769353549e-01
-9.855272021043253172e-01,6.501627073379180111e+00,-3.143681643193501518e+00,-5.073351535103848065e+00
-1.709146907596594600e+00,2.120724302936596750e+00,2.847339976378937543e-01,4.002670790060688155e+00
-3.830916262532615274e-02,-2.232427821196361351e-01,1.382888788435723826e-01,4.425352548287527554e+00
-1.644356603268654737e+00,-1.064584927947990600e+01,1.996754026072388832e+00,-4.628119991004457034e+00
-5.399928259013687892e+00,-3.445884224118913597e-01,1.050298216239885646e-01,-1.709299993692282627e+01
-1.368280319317797700e+00,-4.993542822047665197e+00,-3.802981946145064795e-01,-9.395924711134021834e+00
9.874434439244915707e-01,7.442749637274751251e+00,3.023908177598296221e-01,1.829704946930902310e+01
-4.480020415446809956e+00,2.509945206275581153e+00,-1.200268254685597169e+00,-1.364839717904663807e+01
7.363961455411022206e-01,-4.953039634468284547e+00,4.155770223482174730e-01,4.976831841209698126e+00
1.507478874964966187e-01,5.480203350680397101e+00,4.361409536005767529e-01,1.487022291191411050e+01
5.799056301972802530e-01,-4.406367043904976022e+00,1.186502835541974443e+00,8.881721224243783297e+00
5.629692760264124907e+00,-1.446518246836248078e+00,1.398441951184968612e+00,2.896503430813035607e+01
1.073930098887239781e+00,4.070346521421874364e+00,-2.193230572723075048e-02,1.266515340853912264e+01
3.651991984737412711e-01,-4.524960591226702356e+00,3.596957085062671422e-01,2.312616948357248070e+00
-3.743148733563779640e+00,-4.645509509617798405e-01,1.081824552772112646e+00,-6.344288601374123537e+00
